to indo pra rodoviária com a minha camiseta amarela do ed sheeran que é do tom da camiseta da seleçãomedo de ser confundida com bolsominion	1
desculpa comparar trump com bolsonaro não dá trump é júlio césar bolsonaro ébemébem esquecível trump é uma força da natureza bem já bolsonaro é criticar bandido e falar mal de socialista já trump não ele sabe dos seus objetivos e sabe o que é preciso para alcançá-los	1
ministro de bolsonaro volta a criticar plantio de maconha para fins medicinais a cloaca velho ridículo abotoe o plaetó e desça para inferno	1
o governo bolsonaro reúne também recordes de desempregados: 40 milhões: os sem emprego e os que estão na informalidade vaya brasil	1
como vai ter uma base conservadorase na primeira noticia falsa ou escolha sem saída que o bolsonaro tenha que tomar nego já tira o cu da reta e já deixa de apoiar o que mais tem é frouxo se dizendo conservador	1
é o tal sem quererquerendodna ruim	1
era o sandro rocha mas depois que conseguiu começou a falar mal de bolsonaro para se descolar da direita 	1
ei bolsonaro vai tomar no cu asklosers	1
tem simsérgio moro por exemplo você acha que bolsonaro é o última bolacha do pacoteo único que quer mudar o país ou você é ingênuo ou tem coisa aí	1
acabar nós sabemos que nãomas tem muitos tentando acabar comecantopela alta corte do país lamentavelmente vergonhoso	1
nada novo de baixo do sol são os mesmos hipocritas que gritaram ei bolsonaro vai tomar no 	1
mentira 1: que bolsonaro é igual aos vagabundos que combate; mentira 2: que bolsonaro está enganando seus eleitores; mentira 3: que bolsonaro não sabe o que faz	1
alguma providência está sendo tomada	1
cada dia maisfico apaixonado pelas falas do paulo guedes	1
é verdade que o flavio queiroz bolsonaro errou todas as perguntas no programa do velho canalha	1
gentenão deu nem um ano de bolsonaro e já to desesperada pra 2022	1
reformadaprevidenciaja bora	1
o grande paulo guedes não tem plano de bosta nenhuma e o incrível serjo loro ta ocupadíssimo lustrando as bolas do presidente	1
sponsor a população brasileira: impeachment do presidente jair bolsonaro	1
reformadaprevidênciajá essa é a verdade o brasileiro não esta preparado e cai facilmente nas mentiras da esquerda e também dos insentões	1
eu odeio bolsonaro (mas isso não é novidade) esse juiz devia ficar lá na venezuela passando fome e sumir por lá olha	1
entendo perfeitamente pq o palmeiras eh o time do bolsonaro	1
não houve depósitos no brazil com z a melicia que manda	1
pensar em reeleição agoraé completamente inapropiado temos que dar sustentação para bolsonaro é agora pare de perder tempo com isso por favor essa balbúrdia quem quer são os carrapatos operários do carrapato rainha	1
bolsonaro o cu de vocês	1
bolsonaroimbativel eusoubolsonaro 75% de aprovacao	1
esse projeto do bolsomito ta foda	1
semana que vem eu quero ficar doidona desse jeito aqui	1
